"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";"Central Reservas";
"Hotel Residencia";"1";"SAN MARTIN";"PZA.SAN MARTIN, 7";"34440";"Palencia";"Frómista";"FROMISTA";"FROMISTA";"979810000";"";"";"979810000";"";"";"";"";
"Hostal";"1";"LOS OLMOS";"POLIGONO INDUSTRIAL PARCELA ""A""";"34800";"Palencia";"Aguilar de Campoo";"AGUILAR DE CAMPOO";"AGUILAR DE CAMPOO";"979123743";"979125505";"";"";"";"";"";"";
"Hostal";"1";"SALSE";"AVDA. DE LA CONSTITUCIÓN, Nº 21.";"34100";"Palencia";"Saldaña";"SALDAÑA";"SALDAÑA";"979891412";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"LAS  CANTIGAS";"CONDES DE TORENO, Nº 1";"34449";"Palencia";"Villalcázar de Sirga";"VILLALCAZAR DE SIRGA";"VILLALCAZAR DE SIRGA";"979888027";"";"";"";"info@hostallascantigas.es";"www.hostallascantigas.es";"";"";
"Hostal Residencia";"2";"ALGODON";"DON PELAYO,4";"34003";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979170019";"979102719";"";"979170019";"info@hostalalgodon.es";"www.hostalalgodon.es";"";"";
"Pensión";"";"EL CARRO";"SUBIDA BODEGAS, S/N.";"34450";"Palencia";"Astudillo";"ASTUDILLO";"ASTUDILLO";"979822002";"";"";"";"";"";"";"";
"Pensión";"";"EL CRUCE";"CTRA.-SANTANDER, KM.91";"34492";"Palencia";"Alar del Rey";"NOGALES DE PISUERGA";"NOGALES DE PISUERGA";"979133612";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"HOSPEDERIA ALBE";"ESTEBAN COLLANTES, 21";"34120";"Palencia";"Carrión de los Condes";"CARRION DE LOS CONDES";"CARRION DE LOS CONDES";"979880913";"979880246";"";"979880874";"hostalalbe@hotmail.com";"";"";"";
"Hotel";"3";"PARADOR  DE CERVERA DE PISUERGA";"CTRA. DE RESOBA, KM.2,5";"34840";"Palencia";"Cervera de Pisuerga";"CERVERA DE PISUERGA";"CERVERA DE PISUERGA";"979870075";"915166666";"";"979870105";"cervera@parador.es";"www.parador.es";"Si";"";
"Hotel";"3";"COLON";"COLON, 46";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923400650";"";"";"923400954";"reservas@hotelcolonbejar.com";"www.hotelcolonbejar.com";"";"";
"Hotel";"3";"PETIT PALACE LAS TORRES";"CONCEJO, 4 Y PLZ.MAYOR,26";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923212100";"";"";"923212101";"dtortor@hthoteles.com";"www.hthoteles.com";"";"";
"Hotel";"4";"MONTERREY";"AZAFRANAL, 21";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923272347";"";"";"923214400";"lourdes@granmonterrey.com";"www.hotelmonterreysalamanca.com";"";"";
"Hostal";"1";"PUERTO";"CTRA.N.630,-a,  KM.423";"37720";"Salamanca";"Puerto de Béjar";"PUERTO DE BEJAR";"";"923/414102";"";"";"";"rpbejar@interbook.nethostal@turismopuerto.com";"";"";"";
"Pensión";"";"SALAMANCA";"C/ MELENDEZ, 1-2º";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923214333";"601069868";"";"923214333";"info@pensionsalamanca.com";"www.pensionsalamanca.com";"";"";
"Pensión";"";"MERCADO VENANCIA";"MERCADO, 12";"37100";"Salamanca";"Ledesma";"LEDESMA";"LEDESMA";"923570146";"";"";"";"";"";"";"";
"Hostal";"2";"CRISTI";"PZA. BEJAR, 1";"37710";"Salamanca";"Candelario";"CANDELARIO";"CANDELARIO";"923413212";"923413119";"";"923413119";"";"";"";"";
"Pensión";"";"ORTEGA";"DE LA FUENTONA, 8";"37200";"Salamanca";"Fuente de San Esteban (La)";"FUENTE DE SAN ESTEBAN (LA)";"FUENTE DE SAN ESTEBAN (LA)";"923440031";"";"";"";"";"";"";"";
"Pensión";"";"FELI";"LIBREROS, 58";"37008";"Salamanca";"Salamanca";"SALAMANCA";"";"923216010";"";"";"";"mart69@terra.com";"";"";"";
"Pensión";"";"EUROPA";"ERAS, 3-1º IZDA.";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923221844";"";"";"";"";"";"";"";
"Hotel";"2";"EL CRUCE";"PORTUGAL, AVDA. 2 BAJO";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923/460450";"923/460990";"";"923/460458";"info@hotelcruce.com";"www.hotelcruce.com";"";"";
"Hostal Residencia";"1";"PEÑA DE FRANCIA";"SAN PABLO, 96";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923216687";"";"";"923216687";"";"";"";"";
"Hotel";"2";"SOHO MERCADO";"PLAZA DEL ÁNGEL, 5-7";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923993900";"645816774";"";"";"reservas@sohomercado.com";"www.sohomercado.com";"";"";
"Hostal Residencia";"1";"TORMES";"C/ RUA MAYOR, 20, 1ºD";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"616380966";"616380966";"";"";"";"";"";"";
"Hotel";"4";"REGIO";"CTRA. DE MADRID, KM. 4";"37900";"Salamanca";"Santa Marta de Tormes";"SANTA MARTA DE TORMES";"SANTA MARTA DE TORMES";"923138888";"";"";"923138044";"recepcion@hotelregio.com";"www.hotelregio.com";"";"";
"Pensión";"";"LOS ANGELES PLAZA";"PLAZA MAYOR, 10-2º Y 3º";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923218166";"";"";"";"";"";"";"";
"Hostal";"1";"MONSERRAT";"CTRA. ALBA, S/N";"37300";"Salamanca";"Peñaranda de Bracamonte";"PEÑARANDA DE BRACAMONTE";"PEÑARANDA DE BRACAMONTE";"923542205";"";"";"";"";"";"";"";
"Hotel Residencia";"2";"CONDAL";"PZA. SANTA EULALIA, 3-5";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923218400";"";"";"923211354";"reservas@hotelcondal.com";"www.hotelcondal.com";"";"";
"Hostal";"1";"AMERICA";"LA GUIA, S/N";"37800";"Salamanca";"Alba de Tormes";"ALBA DE TORMES";"ALBA DE TORMES";"923300071";"635568467";"";"";"";"";"";"";
"Hostal Residencia";"1";"KIMBARA";"AVDA. DE MIRAT, 15, ESC. 1, 1º";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923602170";"923123686";"620386397";"";"hostalkimbara@hotmail.com";"www.hostalkimbara.com";"";"";
"Pensión";"";"SALAMANCA DORADA";"CRISTO DE LOS MILAGROS, 6";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"628924622";"";"";"";"";"";"";"";
"Hostal Residencia";"2";"URIA";"C/ GARCIA MORENO, 1, 1º";"37006";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923222525";"609787550";"";"923990059";"reservas@hostaluria.es";"www.hostaluria.es";"";"";
"Hostal Residencia";"2";"MINDANAO";"PASEO DE SAN VICENTE, 2";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923100114";"661345735";"";"923263080";"reservas@hostalmindanao.com";"www.hostalmindanao.com";"";"";
"Hotel Residencia";"1";"GABRIEL Y GALAN";"PZA. GABRIEL Y GALAN, 3-5";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923221316";"";"";"923221316";"hostalgabrielygalan@hotmail.com";"www.hostalgabrielygalan.com";"";"";
"Hotel";"3";"BALNEARIO DE BABILAFUENTE";"PARAJE DE FUENTE VIEJA, 1";"37330";"Salamanca";"Babilafuente";"BABILAFUENTE";"BABILAFUENTE";"923360685";"618347685";"";"";"director@balneariodebabilafuente.com";"www.balneariodebabilafuente.com";"";"";
"Pensión";"";"PARIS";"TORO, 10";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923/482349";"";"";"";"";"";"";"";
"Hotel";"3";"LAS BATUECAS";"AVDA.DE LAS BATUECAS, Nº 6";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415188";"";"";"923415055";"info@hotelasbatuecas.com";"www.hotelasbatuecas.com";"";"";
"Hostal Residencia";"1";"EMPERATRIZ";"RUA MAYOR, 16";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923219156";"";"";"923218783";"";"";"";"";
"Hostal";"1";"EL CASERON";"C/ TORRES VILLARROEL, 2";"37900";"Salamanca";"Santa Marta de Tormes";"SANTA MARTA DE TORMES";"SANTA MARTA DE TORMES";"923200040";"629783001";"633066119";"923200040";"hostalcaseron@hotmail.com";"www.elcaseron.es";"";"";
"Pensión";"";"ESTEFANIA";"JESUS, 3-5";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923217372";"620909072";"";"";"";"www.pensionestefania.es";"";"";
"Pensión";"";"EL PARAISO";"J. CABALLERO, 10";"37250";"Salamanca";"Aldeadávila de la Ribera";"ALDEADAVILA DE LA RIBERA";"ALDEADAVILA DE LA RIBERA";"923505039";"";"";"";"";"";"";"";
"Pensión";"";"VERONICA";"NUEVA DE SAN BERNARDO, 9-3º IZDA.";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/263662";"";"";"";"";"";"";"";
"Hotel";"2";"EMPERATRIZ";"COMPAÑIA, 44";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923219200";"";"";"923219201";"";"www.emperatrizhotel.com";"";"";
"Hotel";"2";"PARIS";"SAN ANTONIO, 2";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415131";"";"";"923415140";"info@hotelparislaalberca.com";"www.hotelparislaalberca.com";"";"";
"Hostal Residencia";"2";"REISE SALAMANCA";"C/ MARIA AUXILIADORA, 13, ENTREPLANTA";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"618202523";"923226601";"";"";"reise@aldahostels.es";"www.hostalreisesalamanca.es";"";"";
"Hostal";"1";"LA VIÑA";"C/ SAN ROQUE, 19, BAJO";"37210";"Salamanca";"Vitigudino";"VITIGUDINO";"VITIGUDINO";"923500042";"";"";"";"";"www.lavinavitigudino.com";"";"";
"Hotel";"2";"FENIX";"AVDA. SAAVEDRA Y FAJARDO, 96";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923191440";"";"";"923191434";"fenixsalamanca@yahoo.es";"www.hotelfenixsalamanca.es";"";"";
"Hotel Residencia";"1";"CASTELLANO";"AVDA.  PORTUGAL, 29";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923228516";"";"";"";"";"";"";"";
"Hotel";"2";"CUATRO CALZADAS";"CTRA. SALAMANCA-CACERES, KM. 17";"37893";"Salamanca";"Martinamor";"MARTINAMOR";"";"923308236";"923308311";"";"923308236";"hotel4calzadas@terra.es";"";"";"";
"Hotel";"1";"LA LLAVE DEL CAMPO";"CTRA. SALAMANCA, 141";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923460258";"";"";"";"hotelllavecampo@gmail.com";"";"";"";
"Hostal Residencia";"1";"LA PEDRESINA";"PLAZA EUROPA, 2";"37481";"Salamanca";"Fuentes de Oñoro";"FUENTES DE OÑORO";"FUENTES DE OÑORO";"923487692";"";"";"923487692";"pedresina@pedresina.com";"";"";"";
"Hostal Residencia";"2";"CONDE DAVID";"AVDA. ITALIA, 60-62";"37006";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923240623";"690951181";"";"923226362";"";"";"";"";
"Hostal Residencia";"2";"ALBERO";"PZA. CARMELITAS, 13, 1ºB";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923267706";"615081226";"";"";"hostal.albero@yahoo.es";"www.hostalalbero.es";"";"";
"Hostal";"1";"LA GRANJA";"NUESTRA SEÑORA, 2";"37300";"Salamanca";"Peñaranda de Bracamonte";"PEÑARANDA DE BRACAMONTE";"PEÑARANDA DE BRACAMONTE";"923540196";"";"";"923540196";"hostal@lagranjafigon.e.telefonica.net";"";"";"";
"Hotel";"3";"BALNEARIO DE LEDESMA";"BAÑOS DE LEDESMA";"37115";"Salamanca";"Vega de Tirados";"VEGA DE TIRADOS";"VEGA DE TIRADOS";"923149100";"";"";"923570393";"bal@balnearioledesma.com";"www.balnearioledesma.com";"";"";
"Hostal Residencia";"2";"BLAZQUEZ SANCHEZ";"TRAVESIA SANTA ANA, 6";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923402400";"";"";"923402306";"";"";"";"";
"Hostal";"1";"EL NUEVO PARAISO";"CTRA. MADRID, 35";"37900";"Salamanca";"Santa Marta de Tormes";"SANTA MARTA DE TORMES";"SANTA MARTA DE TORMES";"923200008";"";"";"";"hostalelnuevoparaiso@gmail.com";"";"";"";
"Hotel";"1";"ARAGON";"C/ PINZONES, 2";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923233000";"923233129";"";"923233119";"reservas@hotelaragonsalamanca.com";"www.hotelaragonsalamanca.com";"";"";
"Pensión";"";"EXTREMEÑO";"MANSILLA, 27";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923402724";"";"";"";"";"";"";"";
"Pensión";"";"SANCTI-SPIRITUS";"LA PLAZA, 3";"37470";"Salamanca";"Sancti-Spíritus";"SANCTI-SPIRITUS";"";"923/48.40.96";"";"";"";"";"";"";"";
"Hostal";"1";"HERMANOS MARTIN";"PZA. CONSTITUCION, 3";"37481";"Salamanca";"Fuentes de Oñoro";"FUENTES DE OÑORO";"FUENTES DE OÑORO";"923473067";"";"";"923473175";"";"";"";"";
"Hostal Residencia";"2";"BARCELONA";"PASEO DE SAN VICENTE, 24";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923264528";"";"";"923267622";"silmoshostalbarcelona@gmail.com";"www.hostalbarcelona.es";"";"";
"Hostal Residencia";"1";"NAVASFRIAS";"MOZARBEZ, 2";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923246086";"923123606";"";"923123606";"hostalnavasfrias@ono.com";"www.hostalnavasfrias.es";"";"";
"Pensión";"";"HERNANDEZ";"TABLADO, 3";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"";"923415039";"";"";"";"";"";"";"";
"Hotel";"3";"CONDE RODRIGO";"PZA. SAN SALVADOR, 9";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923461408";"";"";"923461408";"info@conderodrigo.com";"www.conderodrigo.com";"";"";
"Hotel Residencia";"2";"CASTELLANO II";"PEDRO MENDOZA, 36";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923242812";"";"";"923266741";"hrcastellano@helcom.es";"www.hotelescastellano.com";"";"";
"Hostal";"2";"CASA PORTO";"CTRA. VALLADOLID, NACIONAL 620, KM. 225";"37427";"Salamanca";"Pedrosillo el Ralo";"PEDROSILLO EL RALO";"PEDROSILLO EL RALO";"923080108";"694407037";"";"";"elportaldelaarmuna@yhoo.es";"www.elportaldelaarmuna";"";"";
"Hotel Residencia";"1";"GRAN VIA";"ROSA, 4";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923215401";"923215402";"";"923210954";"";"";"";"";
"Hostal";"1";"ALAYKA";"C/ SALAS POMBO, 76";"37181";"Salamanca";"Calvarrasa de Abajo";"CALVARRASA DE ABAJO";"CALVARRASA DE ABAJO";"923306089";"";"";"";"";"";"";"";
"Pensión";"";"LA NENA";"CARMELITAS, 19";"37100";"Salamanca";"Ledesma";"LEDESMA";"";"923/570241";"923/570165";"";"";"";"";"";"";
"Hostal Residencia";"1";"EL QUIJOTE";"AVDA. SALAMANCA, 13";"37210";"Salamanca";"Vitigudino";"VITIGUDINO";"";"923500079";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"TREBOL";"PIZARRO, 1";"37800";"Salamanca";"Alba de Tormes";"ALBA DE TORMES";"";"923300089";"";"";"";"";"";"";"";
"Hostal";"1";"EL BLANCO";"CTRA. BURGOS-PORTUGAL, KM. 327";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923462142";"";"";"";"";"";"";"";
"Hotel";"2";"ALAMEDA";"AVDA. JUAN PABLO II, 39";"37800";"Salamanca";"Alba de Tormes";"ALBA DE TORMES";"ALBA DE TORMES";"923300031";"";"";"923370281";"juanpedro@htalameda.com";"www.hotelrestaurantealameda.com";"";"";
"Hostal";"1";"JOSE CARLOS";"CTRA. SALAMANCA-BEJAR, P.K.397";"37777";"Salamanca";"Cabeza de Béjar (La)";"CABEZA DE BEJAR (LA)";"CABEZA DE BEJAR (LA)";"923151717";"923151715";"";"923151715";"";"";"";"";
"Hotel Residencia";"1";"REYES CATOLICOS";"PASEO DE LA ESTACION, 32-38";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923241064";"";"";"923241064";"reservas@hotelreyescatolicossalamanca.com";"www.hotelreyescatolicossalamanca";"";"";
"Pensión";"";"TITO";"TEJEDORES, 19";"37400";"Salamanca";"Cantalapiedra";"CANTALAPIEDRA";"CANTALAPIEDRA";"923530288";"6164956676";"";"";"";"";"";"";
"Hostal Residencia";"1";"ALIANZA III";"VILLAMAYOR, AVDA., 2 ,1ºA";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/268360";"";"";"";"";"";"";"";
"Pensión";"";"LA PACHECA";"CTRA. VALLADOLID, KM.214";"37428";"Salamanca";"Pajares de la Laguna";"PAJARES DE LA LAGUNA";"PAJARES DE LA LAGUNA";"923/350507";"";"";"";"";"";"";"";
"Hostal Residencia";"2";"LOS INFANTES";"Pº ESTACION, 125";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923252844";"";"";"";"hostallosinfantes@gmail.com";"";"";"";
"Pensión";"";"CURRICAN I";"LOS HIDALGOS, 8-12, 1º";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923120929";"";"";"";"";"";"";"";
"Hotel Residencia";"3";"CASTELLANO III";"SAN FRANCISCO JAVIER, 2-4";"37003";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923261611";"";"";"923266741";"hrcastellano@helcom.es";"www.hotelescastellano.com";"";"";
"Hostal";"1";"EL PASAJE";"LAS ERAS, S/N";"37710";"Salamanca";"Candelario";"CANDELARIO";"CANDELARIO";"923413210";"636883370";"";"";"";"www.edicionesweb.com/hostalpasaje";"";"";
"Hostal";"2";"SAN MARCOS";"CTRA. SALAMANCA-CORIA, S/N";"37656";"Salamanca";"Cepeda";"CEPEDA";"CEPEDA";"923432232";"923432490";"";"";"";"";"";"";
"Hostal";"1";"CONDADO DE MIRANDA";"PARAJE LA PERDIZA";"37660";"Salamanca";"Miranda del Castañar";"MIRANDA DEL CASTAÑAR";"";"923 432026";"";"";"";"";"";"";"";
"Hotel Residencia";"2";"CANALEJAS";"C/ PADILLA, 1-5";"37003";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923261081";"630033101";"";"923262970";"residenciacanalejas2002@hotmail.com";"";"";"";
"Hostal Residencia";"2";"GOYA";"PASEO CARMELITAS, 58, 1º";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923267886";"923270161";"";"923270161";"info@hostalgoyasalamanca.com";"www.hostalgoyasalamanca.com";"";"";
"Pensión";"";"CAMBRONERO";"CANAL, 11";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923481403";"";"";"";"";"";"";"";
"Hostal Residencia";"2";"HISPANICO";"AVDA. ITALIA, 21";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923 226286";"";"";"";"info@hostalhispanico.com";"www.hostalhispanico.com";"";"";
"Hotel Residencia";"1";"CORONA DE CASTILLA";"CARRETERA DE ZAMORA KM. 3";"37184";"Salamanca";"Villares de la Reina";"VILLARES DE LA REINA";"VILLARES DE LA REINA";"923255411";"923255851";"";"923255411";"info@hcoronadecastilla.es";"www.hcoronadecastilla.es";"";"";
"Hostal";"2";"CAROLINA";"ERMITA, 4";"37427";"Salamanca";"Pedrosillo el Ralo";"PEDROSILLO EL RALO";"PEDROSILLO EL RALO";"923354907";"";"";"";"";"";"";"";
"Pensión";"";"LA LIEBRE";"PERDON, 5";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923190585";"";"";"";"";"";"";"";
"Hostal";"1";"EL FINAL";"PEÑA DE FRANCIA, 53";"37620";"Salamanca";"Cabaco (El)";"CABACO (EL)";"CABACO (EL)";"923/454095";"";"";"";"";"";"";"";
"Hostal";"2";"LOS ALAMOS";"CTRA. BEJAR-VITIGUDINO, KM. 40,6";"37650";"Salamanca";"Sequeros";"SEQUEROS";"";"923437522";"";"";"";"";"";"";"";
"Pensión";"";"VIRGINIA";"PASEO DE LA ESTACION, 109-115 ESC. D-1º IZDA.";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/241016";"923/228751";"";"";"";"";"";"";
"Pensión";"";"CHANITO";"LAS ERAS, S/N";"37657";"Salamanca";"Sotoserrano";"SOTOSERRANO";"";"923/422147";"";"";"";"";"";"";"";
"Hotel";"2";"COMPLEJO TURISTICO LA RAD";"CTRA. N-620, KM. 251-URB. LA RAD";"37449";"Salamanca";"Galindo y Perahuy";"GALINDO Y PERAHUY";"GALINDO Y PERAHUY";"923342186";"";"";"923342025";"info@hotel-larad.com";"www.hotel-larad.com";"";"";
"Pensión";"";"EL RUBIO";"VENTORRO DE FRESNEDOSO, S/N";"37775";"Salamanca";"Fresnedoso";"FRESNEDOSO";"FRESNEDOSO";"923413619";"";"";"";"";"";"";"";
"Hotel Residencia";"2";"TORRES";"SAN MARCOS, 3";"37770";"Salamanca";"Guijuelo";"GUIJUELO";"GUIJUELO";"923581451";"";"";"923580017";"info@hotel-torres.es";"www.hotel-torres.es";"";"";
"Pensión";"";"LOS PINOS";"CTRA. CACERES, KM. 88,2";"37521";"Salamanca";"Robleda";"ROBLEDA";"ROBLEDA";"923486209";"";"";"";"";"";"";"";
"Hostal";"2";"EL CASTILLO";"CTRA. MOGARRAZ, S/N";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415001";"";"";"923415001";"info@hostalelcastillo.com";"www.hostalelcastillo.com";"";"";
"Hotel Residencia";"2";"AMEFA";"POZO AMARILLO, 18-20";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923218189";"";"";"923260200";"reservas@hotelamefa.com";"";"";"";
"Hotel";"3";"BALNEARIO DE RETORTILLO";"CTRA. VITIGUDINO, KM. 30";"37495";"Salamanca";"Retortillo";"RETORTILLO";"RETORTILLO";"923450411";"923450412";"";"923450413";"direccion@balnearioretortillo.com";"www.balnearioretortillo.com";"";"";
"Hostal Residencia";"2";"ARGENTINO";"TRAVESIA RECREO, S/N";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923402364";"";"";"";"";"";"";"";
"Hostal";"1";"MIROBRIGA";"VICENTE ALEXANDRE, 31";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923480224";"923461651";"";"";"hostalmirobriga@eresmas.com";"www.hostalmirobriga.com";"";"";
"Hotel";"4";"CONDE RODRIGO II";"HUERTA LAS VIÑAS, S/N";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923480448";"";"";"923461408";"info@conderodrigo.com";"www.conderodrigo.com";"";"";
"Hotel";"3";"MOZARBEZ SALAMANCA";"CTRA. NACIONAL 630, KM. 352";"37796";"Salamanca";"Mozárbez";"MOZARBEZ";"MOZARBEZ";"923308291";"";"";"923308180";"recepcion@hotelmozarbez.com";"www.hotelmozarbez.com";"";"";
"Hotel";"2";"EL CRUCE";"CTRA. TAMAMES, S/N";"37200";"Salamanca";"Fuente de San Esteban (La)";"FUENTE DE SAN ESTEBAN (LA)";"FUENTE DE SAN ESTEBAN (LA)";"923440135";"";"";"";"";"";"";"";
"Pensión";"";"LA VILLARINA";"ARROYO, 4";"37470";"Salamanca";"Sancti-Spíritus";"SANCTI-SPIRITUS";"SANCTI-SPIRITUS";"923484038";"";"";"";"";"";"";"";
"Pensión";"";"SANTA MARTA II";"BAJADA DEL RIO, 24-2º B";"37900";"Salamanca";"Santa Marta de Tormes";"SANTA MARTA DE TORMES";"SANTA MARTA DE TORMES";"923200069";"";"";"";"";"";"";"";
"Pensión";"";"ABACA ISABEL";"PZA. BARCELONA, 24-25-6º-5";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923249254";"923228751";"651788214";"";"info@pensionisabel.com";"";"";"";
"Hostal Residencia";"2";"LAS FLORES";"BAJADA DEL RIO, 18-20";"37900";"Salamanca";"Santa Marta de Tormes";"SANTA MARTA DE TORMES";"";"923 130767";"";"";"923 130768";"reservas@hostallasflores.com";"www.hostallasflores.com";"";"";
"Hotel Residencia";"4";"RECTOR";"PASEO RECTOR ESPERABE, 10";"37008";"Salamanca";"Salamanca";"SALAMANCA";"";"923 218482";"";"";"923 214008";"hotelrector@telefonica.netinfo@hotelrector.com";"www.hotelrector.com";"";"";
"Hotel Residencia";"3";"HOTEL HELMANTICO";"CTRA. N-630, KM. 1.SALAMANCA-ZAMORA";"37184";"Salamanca";"Villares de la Reina";"VILLARES DE LA REINA";"VILLARES DE LA REINA";"923221220";"";"";"923245341";"contacto@hotelhelmantico.com";"";"";"";
"Hotel Residencia";"1";"LE PETIT HOTEL GIRARDI";"RONDA DE SANCTI-SPIRITUS, 39";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923 600774";"923 600773";"";"923600774";"";"www.lepetithotel.net";"";"";
"Hostal Residencia";"2";"CUZCO";"OBISPO BARBADO VIEJO, 2-4";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923265745";"";"";"923265745";"info@hostalcuzcosalamanca.com";"www.hostalcuzco.net";"";"";
"Pensión";"";"ROBLES";"MAYOR, PZA. 20- 2º";"37002";"Salamanca";"Salamanca";"SALAMANCA";"";"923/213197";"";"";"";"";"";"";"";
"Hostal Residencia";"2";"YOANNA";"REINO DE LEON, 12";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923481252";"";"";"923481168";"";"";"";"";
"Hotel";"4";"NH PALACIO DE CASTELLANOS";"SAN PABLO, 58-64";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923261818";"";"";"923261819";"nhpalaciodecastellano@nh-hotels.com";"www.nh-hotels.com";"";"";
"Hostal";"2";"LAS CAVENES DEL CABACO";"CTRA. LA ALBERCA, S/N";"37620";"Salamanca";"Cabaco (El)";"CABACO (EL)";"CABACO (EL)";"923454098";"";"";"";"";"";"";"";
"Pensión";"";"CARMEN";"PLAZA ESPAÑA, 7";"37610";"Salamanca";"Mogarraz";"MOGARRAZ";"";"923/418119";"923/418189";"";"";"";"";"";"";
"Residencia Apartamento";"2";"EL TOBOSO";"CLAVEL, 7";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923271464";"";"";"923271462";"info@hoteltoboso.com";"";"";"";
